lat,lon,addr:street,addr:housenumber
50.9411768606,3.05560772322,Basijnsmolenstraat,1
50.9403965659,3.05708214503,Basijnsmolenstraat,11
50.9402182719,3.0577020001,Basijnsmolenstraat,13
50.9395948754,3.05804214291,Basijnsmolenstraat,19
50.9410170375,3.05587616347,Basijnsmolenstraat,1A
50.9397364922,3.05872904039,Basijnsmolenstraat,2
50.9409763315,3.05622437414,Basijnsmolenstraat,3
50.9395187655,3.05882832173,Basijnsmolenstraat,4
50.9408978091,3.0563260383,Basijnsmolenstraat,5
50.9392941427,3.05883316795,Basijnsmolenstraat,6
50.9409046137,3.05647654445,Basijnsmolenstraat,7
50.9393032841,3.05881441437,Basijnsmolenstraat,8
50.9407196699,3.05662102746,Basijnsmolenstraat,9
